caldt;t90ret
20100129;2.0666E-06
20100226;4.99996E-07
20100331;1.39997E-06
20100430;4.29973E-06
20100528;4.29973E-06
20100630;3.93311E-06
20100730;5.86617E-06
20100831;4.83299E-06
20100930;1.46664E-06
20101029;5.29959E-06
20101130;1.5333E-06
20101231;7.33255E-06
20110131;1.93328E-06
20110228;4.73301E-06
20110331;7.8991E-06
20110429;6.93264E-06
20110531;2.13327E-06
20110630;3.43316E-06
20110729;-2.76678E-06
20110831;7.69914E-06
20110930;2.66666E-07
20111031;8.33323E-07
20111130;1.99999E-07
20111230;-3.00001E-07
20120131;-1.60004E-06
20120229;5.99995E-07
20120330;2.93321E-06
20120430;1.19998E-06
20120531;5.83284E-06
20120629;3.16652E-06
20120731;3.39983E-06
20120831;4.09976E-06
20120928;3.63314E-06
20121031;2.23326E-06
20121130;6.49939E-06
20121231;3.93311E-06
20130131;6.33328E-07
20130228;5.66662E-07
20130328;4.76634E-06
20130430;5.49956E-06
20130531;3.09986E-06
20130628;1.76662E-06
20130731;1.59996E-06
20130830;2.39992E-06
20130930;1.33331E-06
20131031;-6.00005E-07
20131129;2.09994E-06
20131231;4.06643E-06
20140131;4.96631E-06
20140228;-7.66675E-07
20140331;3.19985E-06
20140430;1.76662E-06
20140530;9.66653E-07
20140630;1.39997E-06
20140731;1.56663E-06
20140829;7.33326E-07
20140930;1.56663E-06
20141031;3.33333E-08
20141128;1.13331E-06
20141231;3.33333E-08
20150130;3.96644E-06
20150227;-1.66667E-07
20150331;-7.66675E-07
20150430;2.66656E-06
20150529;1.26664E-06
20150630;9.66653E-07
20150731;1.99999E-07
20150831;4.53304E-06
20150930;7.33326E-07
20151030;-4.30027E-06
20151130;2.96654E-06
20151231;8.299E-06
20160129;-1.90005E-06
20160229;1.13648E-05
20160331;1.57964E-05
20160429;8.46563E-06
20160531;5.16628E-06
20160630;1.45636E-05
20160729;8.6989E-06
20160831;8.9655E-06
20160930;1.87282E-05
20161031;9.39872E-06
20161130;4.09976E-06
20161230;1.45636E-05
20170131;1.5863E-05
20170228;1.17313E-05
20170331;1.27976E-05
20170428;2.05605E-05
20170531;1.95944E-05
20170630;2.90877E-05
20170731;3.05531E-05
20170831;3.25846E-05
20170929;2.6723E-05
20171031;3.12858E-05
20171130;3.16854E-05
20171229;3.13857E-05
20180131;4.48375E-05
20180228;3.22849E-05
20180329;3.81456E-05
20180430;4.92648E-05
20180531;4.96642E-05
20180629;5.0696E-05
20180731;5.63206E-05
20180831;5.57882E-05
20180928;5.07626E-05
20181031;6.43067E-05
20181130;6.32752E-05
20181231;6.44398E-05
20190131;6.40405E-05
20190228;5.79513E-05
20190329;6.63029E-05
20190430;6.80661E-05
20190531;7.31224E-05
20190628;7.20247E-05
20190731;6.66688E-05
20190830;5.86834E-05
20190930;6.55377E-05
20191031;6.53048E-05
20191129;3.76461E-05
20191231;4.98972E-05
20200131;4.35725E-05
20200228;5.03965E-05
20200331;0.000102082
20200430;3.86645E-06
20200529;9.66653E-07
20200630;5.16628E-06
20200731;1.09982E-05
20200831;2.29992E-06
20200930;3.29984E-06
20201030;2.23326E-06
20201130;3.19985E-06
20201231;1.79995E-06
20210129;3.66647E-06
20210226;2.66656E-06
20210331;2.99987E-06
20210430;4.86632E-06
20210528;8.33323E-07
20210630;-1.50003E-06
20210730;9.66653E-07
20210831;9.99986E-07
20210930;2.66656E-06
20211029;-1.13335E-06
20211130;2.43325E-06
20211231;2.69989E-06
